ticker,start_date,end_date,days,max_consecutive_days,total_stale_days
AYTU,2010-03-17,2010-06-07,83,131,1696
CNF,2016-02-03,2016-04-25,83,107,627
AYTU,2010-08-06,2010-10-27,83,131,1696
UBX,2010-08-27,2010-11-17,83,1036,2041
NWGI,2012-07-19,2012-10-09,83,65,1434
AMCR,2016-12-15,2017-03-06,82,54,1345
MTC,2014-04-03,2014-06-23,82,90,1130
CFB,2015-03-16,2015-06-05,82,104,814
DGICB,2015-07-09,2015-09-28,82,57,2239
KELYB,1995-08-18,1995-11-07,82,96,4631
ORGS,2011-11-18,2012-02-07,82,54,277
RCA,2017-04-21,2017-07-11,82,166,1039
BIMI,2007-01-08,2007-03-29,81,57,458
DTW,2014-07-15,2014-10-03,81,214,471
BE,2005-02-04,2005-04-25,81,117,2051
MLPO,2017-09-25,2017-12-14,81,77,983
DOOR,2011-08-23,2011-11-11,81,71,663
TBB,2010-08-18,2010-11-05,80,214,318
GRAF,2010-08-10,2010-10-28,80,1223,3366
NVGS,2011-05-03,2011-07-21,80,203,1442
OPBK,2013-02-05,2013-04-25,80,161,2090
FSBC,2011-01-10,2011-03-30,80,56,1958
LMNR,2004-05-06,2004-07-23,79,54,781
FSBC,2012-06-20,2012-09-06,79,56,1958
CNF,2017-11-07,2018-01-24,79,107,627
MAYS,1996-12-31,1997-03-19,79,55,4187
OR,2015-07-07,2015-09-23,79,55,135
SPFI,2015-11-04,2016-01-21,79,229,1793
APHA,2015-05-12,2015-07-29,79,55,159
PFHD,2019-05-02,2019-07-19,79,57,537
BLD,2007-07-10,2007-09-26,79,62,1016
MSVB,2012-07-16,2012-10-02,79,115,3926
XELB,2014-04-23,2014-07-09,78,54,564
EIC,2009-05-20,2009-08-05,78,54,370
MSVB,2005-06-22,2005-09-07,78,115,3926
HNRG,1998-03-26,1998-06-11,78,73,3290
CAI,2005-08-29,2005-11-14,78,55,189
APHA,2015-07-31,2015-10-16,78,55,159
LFVN,2002-07-05,2002-09-20,78,290,2466
NMRD,2016-08-02,2016-10-18,78,55,325
MEC,2012-06-07,2012-08-23,78,55,863
AUG,2014-07-10,2014-09-25,78,65,336
KIQ,2009-11-10,2010-01-25,77,175,3475
BE,2003-08-29,2003-11-13,77,117,2051
GNL,2013-08-06,2013-10-21,77,54,1097
MXC,1996-12-18,1997-03-04,77,164,2419
TZACU,2020-01-07,2020-03-23,77,53,209
KTB,2015-12-16,2016-03-01,77,51,85
OPBK,2009-03-05,2009-05-20,77,161,2090
CAPR,2007-05-09,2007-07-24,77,53,355
GIX,2014-12-12,2015-02-25,76,117,2607
NTB,2013-05-08,2013-07-22,76,52,56
GPRK,2012-08-22,2012-11-05,76,51,697
AUBN,1995-10-27,1996-01-10,76,51,1533
BE,2002-06-26,2002-09-09,76,117,2051
KIQ,2001-08-23,2001-11-06,76,175,3475
ICL,2003-05-22,2003-08-05,76,270,1731
MSVB,2011-09-01,2011-11-15,76,115,3926
ZIOP,2005-08-25,2005-11-08,76,53,83
DMAC,2015-05-15,2015-07-29,76,61,941
YUMA,1996-07-10,1996-09-23,76,319,2485
TGLS,2012-06-18,2012-08-31,75,54,290
ATNM,2012-12-31,2013-03-15,75,52,92
NMRD,2015-03-23,2015-06-05,75,55,325
TRT,1994-07-01,1994-09-13,75,278,1268
PLX,2005-05-19,2005-08-01,75,80,1679
PFBC,2001-06-18,2001-08-31,75,228,1314
FGBI,2013-12-27,2014-03-11,75,57,699
NWGI,2012-05-04,2012-07-17,75,65,1434
STG,2008-12-16,2009-02-27,74,187,1342
NWGI,2012-12-24,2013-03-07,74,65,1434
CLSK,2015-02-27,2015-05-11,74,238,1229
CIGI,1995-09-25,1995-12-07,74,53,362
WPM,2003-04-08,2003-06-20,74,92,996
SRNE,2011-04-12,2011-06-24,74,82,1223
AMUB,2018-03-12,2018-05-24,74,160,831
DSS,1994-08-30,1994-11-11,74,53,780
JG,2016-07-05,2016-09-16,74,62,1061
MLPE,2017-07-24,2017-10-04,73,52,654
CKX,2002-02-19,2002-05-02,73,86,1945
PCB,2014-08-11,2014-10-22,73,131,830
COE,2015-01-12,2015-03-24,72,64,1318
CAE,1996-04-03,1996-06-13,72,50,1194
GRAF,2002-10-02,2002-12-12,72,1223,3366
HNRG,1999-05-12,1999-07-22,72,73,3290
IMV,2013-01-24,2013-04-05,72,50,1241
REI,2011-05-23,2011-08-02,72,98,1160
LBC,2003-10-28,2004-01-07,72,181,1956
PWOD,1994-09-19,1994-11-29,72,73,1405
PTVCA,2000-08-30,2000-11-09,72,103,3782
PLX,2002-12-12,2003-02-21,72,80,1679
LIVX,2017-08-21,2017-10-31,72,51,81
AC,2014-11-04,2015-01-14,72,49,108
GMAB,2010-07-08,2010-09-17,72,241,1068
AMCR,2015-05-11,2015-07-21,72,54,1345
MSVB,2012-10-04,2012-12-14,72,115,3926
BCTF,2007-07-19,2007-09-28,72,155,3025
TXMD,2008-06-30,2008-09-09,72,107,883
BE,2009-01-12,2009-03-23,71,117,2051
CODA,2002-07-30,2002-10-08,71,12,296
PJT,2001-08-27,2001-11-05,71,78,2431
EVGN,2012-05-18,2012-07-27,71,77,725
MLPE,2018-08-14,2018-10-23,71,52,654
EXPI,2013-11-20,2014-01-29,71,47,151
ARWR,2001-10-04,2001-12-13,71,70,2032
KIQ,2005-04-26,2005-07-05,71,175,3475
EEH,2012-12-07,2013-02-15,71,48,1717
BIMI,2007-07-27,2007-10-05,71,57,458
AGM,1995-03-01,1995-05-10,71,50,538
BE,2004-03-30,2004-06-08,71,117,2051
CKX,2001-05-24,2001-08-02,71,86,1945
DGICB,2014-10-06,2014-12-15,71,57,2239
GLIBP,2017-02-10,2017-04-21,71,86,1141
TU,1997-02-14,1997-04-25,71,87,918
DOOR,2010-10-01,2010-12-10,71,71,663
ANVS,2019-02-01,2019-04-11,70,331,360
LNG,1994-06-03,1994-08-11,70,49,560
SBE,2015-05-20,2015-07-28,70,327,540
IMV,2012-11-14,2013-01-22,70,50,1241
AEMD,1999-03-10,1999-05-18,70,49,802
WPM,2001-07-26,2001-10-03,70,92,996
SIEB,1995-07-26,1995-10-03,70,49,1518
MSVB,2011-01-27,2011-04-06,70,115,3926
BE,2009-03-25,2009-06-02,70,117,2051
AMCR,2012-06-08,2012-08-16,70,54,1345
MXC,1999-10-19,1999-12-27,70,164,2419
DSS,1995-01-26,1995-04-05,70,53,780
CCB,2011-06-16,2011-08-24,70,253,1818
MTC,2017-03-01,2017-05-09,70,90,1130
NWGI,2012-10-12,2012-12-20,70,65,1434
FSBC,2009-03-06,2009-05-14,70,56,1958
FSBC,2011-08-04,2011-10-11,69,56,1958
HNRG,2002-07-19,2002-09-25,69,73,3290
KLR,2016-12-01,2017-02-07,69,560,1397
MCBS,2019-04-26,2019-07-03,69,86,575
CTXR,2016-02-10,2016-04-18,69,62,329
OCCI,2013-06-06,2013-08-13,69,426,1236
LD,2016-05-04,2016-07-11,69,91,1282
ABEV,2005-04-01,2005-06-08,69,48,1519
FPAY,2010-04-16,2010-06-23,69,105,1055
OCCI,2017-04-06,2017-06-13,69,426,1236
MCF,1994-05-12,1994-07-18,68,90,1481
GSX,2015-10-30,2016-01-05,68,45,430
FPAY,2012-06-21,2012-08-27,68,105,1055
ORGO,2018-11-01,2019-01-07,68,44,189
SUZ,2009-03-02,2009-05-08,68,49,1255
LSXMB,2017-10-23,2017-12-29,68,48,629
HNRG,2003-06-12,2003-08-18,68,73,3290
FDBC,2002-03-07,2002-05-13,68,47,2353
DWSN,1996-02-09,1996-04-15,67,45,1504
AMEH,2009-04-14,2009-06-19,67,48,1032
BCLI,2004-03-15,2004-05-20,67,48,217
PAVMW,2019-01-29,2019-04-05,67,48,549
MAXR,2009-05-05,2009-07-10,67,47,1359
HNRG,1995-07-18,1995-09-22,67,73,3290
MSVB,2012-01-27,2012-04-02,67,115,3926
ARWR,2000-03-28,2000-06-02,67,70,2032
AYTU,2009-09-08,2009-11-13,67,131,1696
OSW,2013-10-04,2013-12-09,67,213,1283
KIQ,2001-02-27,2001-05-04,67,175,3475
MSVB,2008-06-18,2008-08-22,66,115,3926
LD,2017-04-17,2017-06-21,66,91,1282
BCTF,2011-01-12,2011-03-18,66,155,3025
GHG,2013-02-13,2013-04-19,66,70,661
CLSK,2018-07-10,2018-09-13,66,238,1229
KLR,2008-07-30,2008-10-03,66,560,1397
SAF,2014-01-07,2014-03-13,66,90,560
MLPB,2016-12-05,2017-02-08,66,75,863
AUG,2015-04-13,2015-06-17,66,65,336
HNRG,2001-05-23,2001-07-27,66,73,3290
TXMD,2008-03-03,2008-05-07,66,107,883
NMRD,2015-12-28,2016-03-01,65,55,325
