Date,Long,long_close,long_ret5,long_prob_up,Short,short_close,short_ret5,short_prob_up
2001-07-09,etfc.us,58.5,0.0581196581196581,0.67589,axgn.us,1.72,0.0465116279069768,0.38654312
2001-07-10,gps.us,21.08,0.1497153700189755,0.7166723,antm.us,21.535,0.0826561411655444,0.40002432
2001-07-11,a.us,18.14,0.0602535832414552,0.6779862,jwn.us,7.5289,0.0964682755781056,0.37582812
2001-07-12,ne.us,10.246,-0.0416747999219206,0.67932063,axgn.us,1.88,-0.0851063829787234,0.35599092
2001-07-13,fe.us,22.581,0.0060670475178248,0.64222777,jwn.us,7.9645,0.0934270826793899,0.36263862
2001-07-16,aes.us,32.811,-0.0773216299411782,0.673218,syk.us,25.825,0.017541142303969,0.3892637
2001-07-17,aee.us,27.145,-0.0656474488856142,0.65125346,dri.us,14.863,-0.0423871358406781,0.38834828
2001-07-18,uis.us,124.6,-0.0248796147672551,0.65358764,ensv.us,0.36,-0.0555555555555554,0.28065974
2001-07-19,jhg.us,49.767,0.0040790081781099,0.6565216,rave.us,2.2,-0.0090909090909091,0.33117107
2001-07-20,cnp.us,18.96,0.1021097046413501,0.6493404,axgn.us,1.68,-0.0714285714285714,0.38343355
2001-07-23,omc.us,32.404,0.1160659177879273,0.6748275,odp.us,12.227,0.0300973255909053,0.38191265
2001-07-24,ncr.us,18.62,0.0569280343716434,0.69358987,ttnp.us,65.725,-0.0376569037656903,0.39349392
2001-07-25,nsc.us,16.017,0.0230380221015171,0.6828152,fmbh.us,7.5697,-0.0073582836836334,0.37709814
2001-07-26,gg.us,4.5289,0.0040407162887234,0.66550255,pki.us,30.366,-0.0648093262201146,0.37215474
2001-07-27,gps.us,22.448,0.0067266571632216,0.6283465,cvx.us,33.626,-0.0046392672336881,0.33359003
2001-07-30,ipg.us,22.998,0.0289590399165144,0.6274272,axgn.us,1.56,0.0512820512820511,0.36602548
2001-07-31,kgc.us,2.2361,0.0519654756048477,0.64089745,cms.us,18.882,-0.0513187162376866,0.3975528
2001-08-01,bc.us,19.785,0.0168309325246398,0.62227505,axgn.us,1.64,0.048780487804878,0.33693466
2001-08-02,spgi.us,26.012,0.0236813778256188,0.6402451,pld.us,39.256,0.0282249847157121,0.39160421
2001-08-03,spgi.us,25.692,0.0471352950334733,0.6623594,klac.us,38.762,-0.1014653526649811,0.35362744
2001-08-06,intu.us,14.667,-0.0248857980500443,0.6962605,etn.us,14.77,-0.0027081922816519,0.33308855
2001-08-07,lnc.us,43.104,0.0086534892353378,0.6503041,kgc.us,2.3523,0.1357394890107555,0.4106425
2001-08-08,stt.us,45.355,-0.0225112997464446,0.66400087,ash.us,14.319,0.0428102521125777,0.4084686
2001-08-09,rrd.us,27.292,0.0217646196687673,0.66810244,an.us,11.7,-0.0358974358974358,0.3807176
2001-08-10,amat.us,19.236,-0.0432002495321272,0.67802185,aem.us,8.2396,0.0275984271081122,0.39633265
2001-08-13,bby.us,20.994,0.0188148994950938,0.64773136,seb.us,267.09,-0.0285671496499306,0.38575736
2001-08-14,twx.us,75.898,0.0062452238530659,0.64143395,fmbh.us,7.1892,0.0451788794302565,0.36193433
2001-08-15,col.us,16.829,0.0200843781567532,0.6569597,fmbh.us,7.514,0.0,0.3307564
2001-08-16,tgna.us,33.043,-0.0068093090821051,0.61949134,aphb.us,20200.0,-0.0247524752475247,0.33687013
2001-08-17,ccl.us,24.122,0.1033910952657324,0.67436105,zbh.us,26.571,-0.0467426893982161,0.3898767
2001-08-20,swk.us,34.402,0.0132550433114353,0.6604459,tkf.us,2.0809,0.0270075448123408,0.37983137
2001-08-21,aig.us,1460.45,-0.0130850080454655,0.6730665,tkf.us,2.0433,0.041354671364949,0.37408158
2001-08-22,nav.us,34.07,0.0143821543880247,0.70525813,trxc.us,12.45,0.0843373493975905,0.35464865
2001-08-23,msft.us,22.239,-0.0369171275686857,0.66872245,unh.us,15.472,-0.0005816959669079,0.39346987
2001-08-24,mitk.us,1.92,0.015625,0.63386554,rave.us,2.1,0.0047619047619047,0.35269034
2001-08-27,vz.us,35.534,-0.0272977992908199,0.6527148,msa.us,7.0727,-0.036195512322027,0.3542788
2001-08-28,cma.us,51.444,-0.0407822097815101,0.67564434,fe.us,23.395,0.0287668305193418,0.36966974
2001-08-29,zion.us,53.734,-0.028827185766926,0.68458444,d.us,22.754,-0.0040871934604904,0.40177944
2001-08-30,sti.us,57.385,-0.0208765356800557,0.7040307,axgn.us,1.63,-0.01840490797546,0.373955
2001-08-31,spgi.us,25.735,-0.0740237031280357,0.68529785,seb.us,260.42,-0.1502572767068583,0.34295434
2001-09-04,adi.us,37.563,-0.139285999520805,0.68112963,rave.us,2.11,-0.0521327014218009,0.36132485
2001-09-05,gd.us,32.755,0.0624026866127307,0.6448212,axgn.us,1.6,-0.10625,0.37070656
2001-09-06,uis.us,110.0,-0.169090909090909,0.67993957,rave.us,2.1,-0.0714285714285715,0.3681143
2001-09-07,uis.us,107.3,-0.1901211556383969,0.7094713,bll.us,3.2908,-0.0300534824358817,0.39623192
2001-09-10,azo.us,41.51,0.0611900746807998,0.67744285,aem.us,9.0406,0.1259208459615513,0.40446413
2001-09-17,syk.us,22.673,-0.0343139416927622,0.678959,admp.us,96.9,0.0526315789473683,0.37834042
2001-09-18,ir.us,12.29,-0.0421480878763221,0.68293834,t.us,20.032,0.0328474440894568,0.39580333
2001-09-19,uis.us,91.4,-0.0897155361050328,0.7005138,vrsn.us,39.423,-0.115389493442914,0.37212667
2001-09-20,rhi.us,17.41,-0.0446295232624929,0.69977564,msa.us,7.7214,0.2650555598725621,0.3423601
2001-09-21,jhg.us,31.665,0.0273803884414969,0.68175906,mon.us,14.26,0.0162692847124825,0.36819094
2001-09-24,r.us,15.367,0.0709312162425976,0.696307,so.us,17.271,-0.0099009900990099,0.42907578
2001-09-25,oxy.us,8.3054,0.1330459700917474,0.66506356,msa.us,10.061,0.0272338733724282,0.34221548
2001-09-26,ppl.us,11.432,0.0491602519244225,0.6899108,unh.us,14.762,0.024861129928194,0.38469687
2001-09-27,ppl.us,10.71,0.1347338935574229,0.6785809,wat.us,35.4,0.0310734463276836,0.38038972
2001-09-28,glw.us,7.5806,-0.1292509827718122,0.6645177,fmbh.us,7.514,0.0321133883417619,0.37655112
2001-10-01,jhg.us,30.952,0.1320431636081673,0.63704556,gpc.us,25.633,0.0348769164748568,0.36617988
2001-10-02,dgx.us,26.409,-0.0557385739709946,0.61595404,fmbh.us,7.9594,-0.0198130512350176,0.34622303
2001-10-03,nvda.us,8.8419,0.1982718646444767,0.6027897,rave.us,1.9,0.0,0.33766127
2001-10-04,mtb.us,59.709,-0.0318377464033898,0.6691463,lamr.us,28.372,-0.0058860848724094,0.3647443
2001-10-05,fcx.us,4.291,-0.0440456769983687,0.62436,axgn.us,1.56,0.0,0.38504523
2001-10-08,snv.us,65.879,-0.0190197179677894,0.6612401,lmt.us,38.361,-0.0369124892468912,0.38525933
2001-10-09,bac.us,23.266,0.1066792744777789,0.68699604,atro.us,1.9977,0.0736847374480651,0.3734219
2001-10-10,gg.us,5.2604,-0.0137442019618279,0.63621455,qcom.us,18.944,0.0393264358108109,0.38625696
2001-10-11,au.us,15.146,0.0287204542453451,0.6400025,mon.us,15.78,-0.0075411913814955,0.36647412
2001-10-12,clx.us,28.302,0.0063599745601017,0.651036,klac.us,25.969,-0.0678116215487697,0.3746765
2001-10-15,agn.us,50.942,-0.0046523497310667,0.646316,axgn.us,1.56,0.0,0.36468562
2001-10-16,zion.us,42.192,0.0180365946150928,0.6491349,xl.us,79.802,-0.015926919124834,0.3700326
2001-10-17,ctl.us,19.88,-0.0093058350100603,0.64526147,atro.us,2.1449,-0.0467154645904236,0.38295943
2001-10-18,ctl.us,19.594,0.0100540981933243,0.6518718,axgn.us,1.56,-0.0833333333333333,0.35045862
2001-10-19,fii.us,16.672,0.0281909788867562,0.6920227,itus.us,12.0,-0.0625,0.38616472
2001-10-22,eqr.us,15.865,0.0139930664985816,0.6567666,seb.us,199.36,0.071779695024077,0.3600721
2001-10-23,aiv.us,30.724,-0.0156880614503319,0.63548374,fmbh.us,7.7459,0.0491098516634607,0.35470423
2001-10-24,pki.us,24.948,-0.012305595638929,0.64751506,ensv.us,0.3,-0.2333333333333332,0.35169905
2001-10-25,fe.us,25.729,-0.0085506626763574,0.6503105,bms.us,18.015,-0.0008326394671107,0.36383224
2001-10-26,brk-a.us,72500.0,-0.0055172413793103,0.6494018,syk.us,26.666,-0.0438010950273756,0.35876265
2001-10-29,abc.us,14.98,-0.0459946595460614,0.64067936,ne.us,11.799,-0.1574709721162809,0.3798635
2001-10-30,bax.us,21.863,-0.0503133147326532,0.6368224,grmn.us,6.3379,0.0168983417220214,0.3637686
2001-10-31,jnpr.us,21.09,0.0374585111427216,0.6744732,axgn.us,1.43,-0.1538461538461538,0.3640628
2001-11-01,glw.us,6.7468,-0.0139769965020455,0.6611588,axgn.us,1.43,-0.1678321678321678,0.3800142
2001-11-02,dyn.us,5593.22,0.1584847368778628,0.6495476,xlnx.us,28.566,0.0710284954141287,0.36796215
2001-11-05,rdc.us,15.091,0.1471738122059507,0.67302483,nav.us,34.9,0.0063037249283668,0.34036437
2001-11-06,hmy.us,5.1991,-0.0596641726452655,0.6328062,an.us,11.7,-0.0504273504273504,0.36979255
2001-11-07,ca.us,23.412,0.0038014693319665,0.63570035,ash.us,15.223,-0.0028246731918807,0.37900478
2001-11-08,grmn.us,6.4293,0.0048061219728432,0.65951544,etfc.us,82.6,0.0351089588377724,0.381239
2001-11-09,dgx.us,27.397,0.0118626126948206,0.638954,d.us,22.661,-0.0449671241339747,0.36056274
2001-11-12,gg.us,5.0616,-0.0838470048996365,0.6426216,pld.us,37.24,0.0570622986036519,0.37348583
2001-11-13,brk-a.us,68000.0,-0.0073529411764705,0.6935247,agn.us,28.286,0.0059746871243724,0.39546263
2001-11-14,zion.us,45.381,-0.0276327097243339,0.6221904,ebay.us,6.5404,-0.0212372331967463,0.36805567
2001-11-15,cms.us,16.448,0.0056541828793774,0.643182,amzn.us,9.05,0.0033149171270716,0.3539574
2001-11-16,abx.us,13.18,-0.0174506828528072,0.67276776,xrx.us,22.272,0.2462284482758621,0.3549829
2001-11-19,aep.us,29.095,0.0121670390101393,0.6744158,sbux.us,3.9575,-0.0114718888186986,0.37934417
2001-11-20,dyn.us,6971.19,-0.1171894611967253,0.65620023,pten.us,9.2558,0.0101990103502667,0.38504612
2001-11-21,xlnx.us,29.246,0.0540244819804418,0.64749295,dri.us,14.352,-0.0107302118171683,0.3819556
2001-11-23,lvlt.us,90.9,-0.0792079207920792,0.6192124,pcg.us,13.943,0.014989600516388,0.3796782
2001-11-26,etr.us,25.751,0.010834530697837,0.6282019,odp.us,15.999,-0.0230014375898494,0.3679409
2001-11-27,clx.us,30.948,0.0280147343931755,0.6182374,amat.us,18.155,0.0109060864775543,0.3799613
2001-11-28,mo.us,7.6013,0.0269032928578005,0.6722345,admp.us,123.76,0.1717032967032965,0.357247
2001-11-29,svu.us,137.26,0.0284132303657294,0.6266213,seb.us,257.55,0.0259367113181907,0.3537577
2001-11-30,fe.us,24.622,0.012387295914223,0.68352646,symc.us,5.9255,0.0283182853767614,0.39566934
2001-12-03,twx.us,64.283,-0.0768632453370253,0.64534336,r.us,17.685,0.0,0.3629908
2001-12-04,teva.us,12.341,-0.0334656834940441,0.65604174,hon.us,28.702,0.0174203888230786,0.38327944
2001-12-05,mkc.us,17.962,-0.020376350072375,0.62873656,mu.us,33.06,-0.0396249243799153,0.37671563
2001-12-06,bax.us,22.415,0.0246263662725854,0.6289194,px.us,22.821,-0.0402699268217869,0.35871613
2001-12-07,mo.us,7.6233,0.0162528039038212,0.6348052,sna.us,28.659,-0.0214243344150178,0.3734674
2001-12-10,itus.us,13.25,-0.0754716981132075,0.6655693,tkf.us,2.3901,-0.0313376009371992,0.4115094
2001-12-11,xom.us,29.617,0.0201911064591282,0.67797846,bax.us,23.218,0.013437849944009,0.40177953
2001-12-12,bms.us,20.243,0.0045447809119203,0.6952623,pg.us,32.254,0.0188193712407762,0.3734332
2001-12-13,dltr.us,8.3366,0.1639037497301056,0.6817286,hmy.us,6.2899,0.0224168905705972,0.3902054
2001-12-14,mcd.us,21.697,-0.0335530257639303,0.6746894,twx.us,63.133,-0.0185956631238812,0.40403056
2001-12-17,ctl.us,20.682,0.0043032588724496,0.65987206,mrvl.us,8.432,-0.0543050284629981,0.39520097
2001-12-18,trow.us,13.113,0.0429344924883703,0.6461999,seb.us,285.22,0.0342893205245073,0.37649244
2001-12-19,vmc.us,43.104,0.0275844469190793,0.64049757,bby.us,26.455,0.0061236061236062,0.33565778
2001-12-20,gd.us,33.074,0.0111567999032473,0.68406343,admp.us,146.2,-0.0209302325581395,0.37834334
2001-12-21,amzn.us,10.0,0.082,0.6816582,jnj.us,48.594,-0.0101864427707125,0.3620224
